season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",7,NYJ,158,256,1663,10,7,17,127,2,0,1733,884,81,5.0617383872245,1,0.959607616849394,0.0493581039897552,11,44,0,0,0,3,0.517477467152946,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,98.92,98.92
2024,REG,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,2,0,0,0,1,1,1,0.0646047429181635,0,2,0.0384615384615385,0.00970873786407767,0.0644884241971621,0,0.2,1.2
2024,REG,00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",3,IND,71,108,716,7,1,6,49,1,1,962,301,37,19.7362006949657,0,0.744282744282744,0.158714279524251,6,26,0,0,0,2,-0.700734953104984,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,55.24,55.24
2024,REG,00-0026300,J.Johnson,Josh Johnson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",1,BAL,1,1,1,0,0,0,0,0,0,0,1,0,-1.40565618581604,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.04,0.04
2024,REG,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",7,LA,157,232,1671,7,5,17,115,2,2,1682,795,76,-4.88560546176558,0,0.99346016646849,0.0634606698806417,6,-7,0,0,0,0,-4.33279578777729,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,80.14,80.14
2024,REG,00-0027973,A.Dalton,Andy Dalton,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d",6,CAR,106,160,989,7,6,7,37,1,0,1062,459,50,-18.0958913262782,0,0.931261770244821,0.0282681455905481,11,34,0,0,0,2,-3.43167459384309,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,58.96,58.96
2024,REG,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",1,NYJ,6,8,36,1,0,0,0,0,0,31,24,3,3.21053655256401,0,1.16129032258065,0.242822721475787,1,7,0,0,0,0,0.77277823726763,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.14,6.14
2024,REG,00-0028872,J.Hekker,Johnny Hekker,P,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcl8kjfwubicyywpxfny",1,CAR,0,1,0,0,0,0,0,0,0,17,0,0,-3.02858219714835,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2024,REG,00-0028899,R.McLeod,Rodney McLeod,FS,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ettne7rdpnkozuyhx8be",1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,1,6,6
2024,REG,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre",1,PIT,16,29,264,2,0,1,4,0,0,238,115,12,8.76133866860301,0,1.10924369747899,0.155053644476993,3,3,1,0,0,2,1.43774519278668,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,24.86,24.86
2024,REG,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13",7,ATL,162,242,1830,10,7,13,102,3,1,1739,883,86,25.4682075169305,0,1.05232892466935,0.105286019401985,11,-8,0,1,0,0,-12.2036251459235,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,96.4,96.4
2024,REG,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",6,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,20,1,0,0,1,2.62405003525782,0,10,17,87,0,0,0,93,28,3,-4.15380468103065,0,0.935483870967742,0.0949720670391061,0.0526018099547511,0.179279367526985,0,16.7,26.7
2024,REG,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",3,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,12,109,1,0,0,126,25,5,5.24023073544959,0,0.865079365079365,0.130434782608696,0.195956454121306,0.332821691797958,0,16.9,24.9
