Team,W,L,T,PCT,PF,PA,DIFF,STRK
Buffalo Bills,6,2,0,0.75,230,146,84,W3
Miami Dolphins,2,5,0,0.286,97,157,-60,L2
New England Patriots,2,6,0,0.25,124,197,-73,W1
New York Jets,2,6,0,0.25,150,170,-20,L5
Pittsburgh Steelers,5,2,0,0.714,161,101,60,W2
Baltimore Ravens,5,3,0,0.625,242,209,33,L1
Cincinnati Bengals,3,5,0,0.375,195,203,-8,L1
Cleveland Browns,2,6,0,0.25,138,186,-48,W1
Houston Texans,6,2,0,0.75,188,179,9,W1
Indianapolis Colts,4,4,0,0.5,175,172,3,L1
Jacksonville Jaguars,2,6,0,0.25,172,224,-52,L1
Tennessee Titans,1,7,0,0.143,120,196,-76,L3
Kansas City Chiefs,7,0,0,1,173,123,50,W7
Denver Broncos,5,3,0,0.625,173,120,53,W2
Los Angeles Chargers,4,3,0,0.571,132,91,41,W1
Las Vegas Raiders,2,6,0,0.25,144,210,-66,L4
Washington Commanders,6,2,0,0.75,236,167,69,W2
Philadelphia Eagles,5,3,0,0.714,171,132,39,W3
Dallas Cowboys,3,4,0,0.429,150,198,-48,L2
New York Giants,2,5,0,0.286,99,149,-50,L2
Detroit Lions,6,1,0,0.857,234,134,100,W5
Green Bay Packers,5,2,0,0.75,216,170,46,W4
Minnesota Vikings,3,3,0,0.714,188,137,51,L2
Chicago Bears,2,5,0,0.571,163,119,44,L1
Atlanta Falcons,5,3,0,0.625,194,195,-1,W1
Tampa Bay Buccaneers,4,4,0,0.5,235,213,22,L2
New Orleans Saints,2,6,0,0.25,185,206,-21,L6
Carolina Panthers,1,7,0,0.125,124,271,-147,L5
Arizona Cardinals,4,4,0,0.5,178,205,-27,W2
San Francisco 49ers,4,4,0,0.5,210,182,28,W1
Seattle Seahawks,2,6,0,0.5,190,195,-5,L1
Los Angeles Rams,1,7,0,0.429,144,174,-30,W2
