season_x,season_type_x,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,season_y,season_type_y,player_id,player_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,trade_rating
2024,REG,0,Chuba Hubbard,RB,CAR,3.17723440134907,19.4915254237288,2.56678378378378,118,593,5.02542372881356,3,00-0036555,Chuba,Hubbard,30,C.Hubbard,454.662728680689,129.337271319311,1.13453746771326,0.5,2024,REG,00-0036555,C.Hubbard,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyis5zooijf0xfme9csj",7,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,103,537,3,0,0,28,3.12423119577579,0,22,24,93,1,2,1,-27,118,6,-8.32196204055799,0,-3.44444444444444,0.138728323699422,-0.0245454545454545,0.190910667367315,0,85.0,107.0,138.0195657696998
2024,REG,0,Alvin Kamara,RB,NO,4.44772277227723,23.9669421487603,2.83101834862385,121,505,4.17355371900826,6,00-0033906,Alvin,Kamara,41,A.Kamara,496.004716753886,-4.0047167538857,-0.0333726396157142,0.358333333333333,2024,REG,00-0033906,A.Kamara,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",7,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,111,438,6,0,0,29,-5.01312820307953,0,34,43,252,1,1,0,25,235,8,2.43966451199384,0,10.08,0.207729468599034,0.014585764294049,0.321804237904385,0,111.0,145.0,123.36717142578412
2024,REG,0,Tank Bigsby,RB,JAX,2.99036437246964,23.5294117647059,2.71839240506329,85,494,5.81176470588235,4,00-0038555,Cartavious,Bigsby,4,T.Bigsby,332.617438772401,161.382561227599,1.89861836738352,0.458823529411765,2024,REG,00-0038555,T.Bigsby,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vwl0kijb59dp20m3hs3u",6,JAX,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,67,415,4,1,0,17,9.62389296783777,0,1,2,28,0,0,0,-5,31,1,1.70923272229265,0,-5.6,0.037037037037037,-0.0148809523809524,0.0451388888888889,0,68.3,69.3,121.35662010763585
2024,REG,0,Tony Pollard,RB,TEN,3.98404858299595,20.1754385964912,3.0311359223301,114,494,4.33333333333333,3,00-0035261,Tony,Pollard,20,T.Pollard,453.782132745725,13.2178672542756,0.119079885173654,0.378378378378378,2024,REG,00-0035261,T.Pollard,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/koxn5qhfnsgvnqfqfmpp",6,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,94,400,3,0,0,18,-7.50124655815307,0,18,25,86,0,0,0,-17,80,3,-8.58165667054709,0,-5.05882352941176,0.146198830409357,-0.0155677655677656,0.208400809716599,0,66.6,84.6,114.8917226126171
2024,REG,0,Breece Hall,RB,NYJ,4.36058411214953,12.6126126126126,2.84689690721649,111,428,3.85585585585586,3,00-0038120,Breece,Hall,20,B.Hall,400.867577923302,14.1324220766982,0.13207871099718,0.364485981308411,2024,REG,00-0038120,B.Hall,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ekmqygsmfkwwwdmuox4r",7,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,95,348,3,1,0,17,-15.0672869450313,0,32,43,307,1,1,1,59,278,9,0.954717037946214,0,5.20338983050848,0.167315175097276,0.039021164021164,0.278287577460729,0,87.5,119.5,99.66781045674139
2024,REG,0,Rhamondre Stevenson,RB,NE,3.93258293838863,22.1153846153846,2.88215053763441,104,422,4.05769230769231,5,00-0036875,Rhamondre,Stevenson,38,R.Stevenson,339.557633325142,32.4423666748579,0.341498596577451,0.368421052631579,2024,REG,00-0036875,R.Stevenson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ro2fqabc4qndtnxykvm7",6,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,84,374,3,4,2,16,-18.732189878839,0,15,20,44,0,0,0,-15,82,2,-5.98426536142999,0,-2.93333333333333,0.137931034482759,-0.0151515151515152,0.196290491118077,0,55.8,70.8,97.55207864122127
2024,REG,0,Chase Brown,RB,CIN,3.74871866295265,21.7948717948718,2.63554929577465,78,359,4.6025641025641,4,00-0038597,Chase,Brown,30,C.Brown,307.624260315219,36.3757396847807,0.498297803901105,0.438356164383562,2024,REG+POST,00-0038597,C.Brown,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rxzzjpgjgjsmmkekp6zu",7,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,66,327,3,1,0,15,3.82850229027977,1,14,17,59,1,0,0,-6,64,3,-3.01545612682821,0,-9.83333333333333,0.092896174863388,-0.0051768766177739,0.13572044866264,0,64.6,78.6,89.85558621090576
2024,REG,0,Devon Achane,RB,MIA,3.86644257703081,7.40740740740741,2.79802985074627,81,357,4.40740740740741,1,00-0039040,Devon,Achane,28,D.Achane,389.894704670843,-40.8947046708429,-0.531100060660297,0.350649350649351,2024,REG+POST,00-0039040,D.Achane,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zqfkz3hbyurjcwhw7xoi",6,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,71,260,1,0,0,11,-12.112351380114,0,23,26,194,1,0,0,-14,210,8,4.84367701978772,0,-13.8571428571429,0.146067415730337,-0.0104089219330855,0.211814878242346,0,57.4,80.4,82.74692534307778
2024,REG,0,Alexander Mattison,RB,LV,4.19109433962264,18.0722891566265,2.69805555555556,83,265,3.19277108433735,3,00-0034972,Alexander,Mattison,22,A.Mattison,299.454687953239,-34.4546879532389,-0.415116722328179,0.301204819277108,2024,REG+POST,00-0034972,A.Mattison,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",7,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,69,250,3,0,0,16,-9.34789910251857,1,17,21,166,1,0,0,-9,173,8,2.52271363686305,0,-18.4444444444444,0.103448275862069,-0.0065359477124183,0.150597250394411,0,67.6,84.6,67.77408102070872
2024,REG,0,Rico Dowdle,RB,DAL,3.5389837398374,20.3389830508475,2.63118181818182,59,246,4.16949152542373,0,00-0036139,Rico,Dowdle,23,R.Dowdle,257.929524895787,-17.9295248957868,-0.30912973958253,0.413793103448276,2024,REG,00-0036139,R.Dowdle,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe8ge4f6vvtyihou5czu",6,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,59,246,0,1,0,15,1.57064289663021,0,16,20,131,2,0,0,52,105,6,7.91481830993533,0,2.51923076923077,0.0862068965517242,0.028555738605162,0.1492993618512,0,49.7,65.7,66.93090202899398
